1	0	5830	562
2	3993	13450	306
3	6327	23712	736
4	11489	3760	602
5	15654	626	331
6	17853	590	279
7	19727	2394	722
8	24578	4744	1155
9	32433	2591	596
10	36455	3745	1186
11	44447	1612	338
12	46768	168	102
13	47437	888	337
14	49692	1169	443
15	52682	501	118
16	53475	1691	294
17	55545	1429	592
18	59551	1360	208
19	60979	2128	242
20	62665	311	205
21	64040	1780	886
22	69927	2740	534
23	73546	544	215
24	74985	64	44
25	75287	3002	1107
26	82772	624	98
27	83449	456	145
28	84434	657	332
29	86657	511	212
30	88089	2549	906
31	94196	376	192
32	95491	140	66
33	95938	3120	750
34	100986	241	172
35	102127	2443	554
36	105893	617	354
37	108288	523	215
38	109722	527	277
39	111609	479	86
40	112205	14	11
41	112278	717	294
42	114238	418	184
43	115483	1214	468
44	118636	241	115
45	119402	1824	778
46	124659	385	161
47	125749	217	115
48	126523	112	74
49	127015	144	90
50	127622	4388	1118
51	135131	137	88
52	135725	561	296
53	137702	1054	280
54	139597	41	37
55	139843	1159	515
56	143296	505	178
57	144500	887	452
58	147542	13667	697
59	152277	2058	949
60	158609	2830	590
61	162628	4539	1331
62	171665	248	119
63	172475	451	147
64	173469	2016	456
65	176551	1767	342
66	178903	1192	339
67	181221	632	194
68	182535	68	46
69	182840	573	279
70	184711	99	51
71	185054	3508	647
72	189392	4056	1421
73	198948	733	341
74	201226	58	41
75	201499	591	227
76	203009	194	96
77	203663	3224	857
78	209478	530	240
79	211088	7326	1559
80	221684	1318	553
81	225408	767	237
82	227014	327	225
83	228516	130	101
84	229185	1708	612
85	233289	29	23
86	233440	1836	447
87	236456	686	380
88	239017	33	12
89	239100	1456	637
90	243369	1630	624
91	247642	70	54
92	248006	3505	1266
93	256542	356	232
94	258094	44	32
95	258314	841	380
96	260875	1088	372
97	263389	259	144
98	264354	228	115
99	265133	3299	1047
100	272213	2535	619
101	276430	1692	524
102	279956	76	48
103	280277	138	73
104	280778	730	311
105	282850	366	169
106	283980	513	219
107	285455	5715	1649
108	296622	1471	578
109	300506	410	271
110	302325	519	293
111	304323	2557	347
112	306649	9	9
113	306714	1366	509
114	310127	555	249
115	311804	601	305
116	313838	1023	426
117	316712	428	242
118	318328	78	43
119	318617	702	315
120	320741	2574	641
121	325033	1247	466
122	328163	1374	204
123	329530	88	63
124	329951	183	97
125	330601	1698	735
126	335523	4318	1187
127	343541	577	265
128	345304	914	227
129	346842	224	96
130	347478	1299	189
131	348742	25	18
132	348865	1763	214
133	350357	1939	716
134	355166	700	365
135	357612	1597	665
136	362055	2146	1454
137	371819	3256	1346
138	380853	5546	1829
139	393162	3675	2160
140	407688	424	312
141	409788	1695	691
142	414465	1901	680
143	419028	974	394
